"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/1/2019","Spring Arbor (Mich.) *","N","5","3","W","MVNU"
"2","3/1/2019","Spring Arbor (Mich.) *","N","12","1","W","MVNU"
"3","3/4/2019","Spring Arbor (Mich.) *","N","1","11","L","MVNU"
"4","3/23/2019","Taylor (Ind.) *","H","7","1","W","MVNU"
"5","3/23/2019","Taylor (Ind.) *","H","5","2","W","MVNU"
"6","3/25/2019","Indiana Wesleyan *","A","11","3","W","MVNU"
"7","3/26/2019","Indiana Wesleyan *","A","1","9","L","MVNU"
"8","3/26/2019","Indiana Wesleyan *","A","10","6","W","MVNU"
"9","4/2/2019","Marian (Ind.) *","H","4","6","L","MVNU"
"10","4/5/2019","Huntington (Ind.) *","A","3","4","L","MVNU"
"11","4/6/2019","Huntington (Ind.) *","A","2","7","L","MVNU"
"12","4/6/2019","Huntington (Ind.) *","A","1","2","L","MVNU"
"13","4/9/2019","St. Francis (Ind.) *","A","9","4","W","MVNU"
"14","4/10/2019","Marian (Ind.) *","H","2","1","W","MVNU"
"15","4/10/2019","Marian (Ind.) *","H","12","2","W","MVNU"
"16","4/12/2019","Grace (Ind.) *","H","10","0","W","MVNU"
"17","4/13/2019","Grace (Ind.) *","H","12","5","W","MVNU"
"18","4/13/2019","Grace (Ind.) *","H","10","5","W","MVNU"
"19","4/16/2019","St. Francis (Ind.) *","A","6","3","W","MVNU"
"20","4/16/2019","St. Francis (Ind.) *","A","17","12","W","MVNU"
"21","4/19/2019","Goshen (Ind.) *","A","4","0","W","MVNU"
"22","4/22/2019","Goshen (Ind.) *","A","1","6","L","MVNU"
"23","4/22/2019","Goshen (Ind.) *","A","6","7","L","MVNU"
"24","4/23/2019","Taylor (Ind.) *","A","8","1","W","MVNU"
"25","4/26/2019","Bethel (Ind.) *","A","14","11","W","MVNU"
"26","4/26/2019","Bethel (Ind.) *","A","10","3","W","MVNU"
"27","4/27/2019","Bethel (Ind.) *","A","13","2","W","MVNU"
