"","Date","Opponent","Location","Team_Score","Opp_Score","Decision","Team"
"1","3/8/2019","Bethel (Ind.) *","N","13","6","W","GRC"
"2","3/9/2019","Bethel (Ind.) *","N","14","2","W","GRC"
"3","3/9/2019","Bethel (Ind.) *","N","3","1","W","GRC"
"4","3/14/2019","Taylor (Ind.) *","A","5","15","L","GRC"
"5","3/16/2019","Taylor (Ind.) *","A","2","10","L","GRC"
"6","3/16/2019","Taylor (Ind.) *","A","3","9","L","GRC"
"7","3/23/2019","Spring Arbor (Mich.) *","A","2","4","L","GRC"
"8","3/25/2019","Spring Arbor (Mich.) *","A","1","11","L","GRC"
"9","3/25/2019","Spring Arbor (Mich.) *","A","6","7","L","GRC"
"10","3/28/2019","Huntington (Ind.) *","H","12","2","W","GRC"
"11","4/1/2019","Huntington (Ind.) *","H","2","12","L","GRC"
"12","4/1/2019","Huntington (Ind.) *","H","10","9","W","GRC"
"13","4/5/2019","St. Francis (Ind.) *","A","17","13","W","GRC"
"14","4/6/2019","St. Francis (Ind.) *","A","9","8","W","GRC"
"15","4/6/2019","St. Francis (Ind.) *","A","15","7","W","GRC"
"16","4/9/2019","Indiana Wesleyan *","H","16","20","L","GRC"
"17","4/12/2019","Mount Vernon Nazarene (Ohio) *","A","0","10","L","GRC"
"18","4/13/2019","Mount Vernon Nazarene (Ohio) *","A","5","12","L","GRC"
"19","4/13/2019","Mount Vernon Nazarene (Ohio) *","A","5","10","L","GRC"
"20","4/16/2019","Indiana Wesleyan *","H","3","1","W","GRC"
"21","4/16/2019","Indiana Wesleyan *","H","1","11","L","GRC"
"22","4/22/2019","Marian (Ind.) *","H","0","9","L","GRC"
"23","4/22/2019","Marian (Ind.) *","H","4","6","L","GRC"
"24","4/23/2019","Marian (Ind.) *","H","3","10","L","GRC"
"25","4/26/2019","Goshen (Ind.) *","H","5","1","W","GRC"
"26","4/26/2019","Goshen (Ind.) *","H","2","12","L","GRC"
"27","4/27/2019","Goshen (Ind.) *","H","2","12","L","GRC"
